n;CORIS_Year;Text_genre;Text_genre_specific;Type;Cxn;Lemma_Base;Orthography;Syllables;SyllLength;MorphCat;Pos;Function;SemClass;ScalePoint_Base;Approximation_Output;Approximation_Output2;Occurrence
mezzo_185;CORIS1980_2000;NARRAT;NARRATTrRacconti;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;"                        "" disse . "" Ecco perchà© sono tornato nella caverna . Per uccidere la donna e seppellirla . "" Una volta rientrato , e ancora < mezzo addormentato > , udà¬ una voce dirgli , vaga all ' orecchio : "" Sei un gran bugiardo "" . Non volle aprire gli occhi , comunque . La donna viveva                     "
mezzo_193;CORIS1980_2000;NARRAT;NARRATTrRomanzi;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_obj;body;maximum_standard;Proximative;Proximative;"                                   impressa come una traccia di profumo insieme_ai segni della luce mattutina . Disse che l ' aveva lasciato ancora < mezza addormentata > , e io ero spiacente di averli fatti separare cosà¬ alla svelta ; lei rispose sorridendo : "" Non preoccuparti , da domani lo                          "
mezzo_195;MONITOR2005_07;NARRAT;NARRAT;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                             ambulanza militare si accostà² a marcia indietro al pianale posteriore di carico . I militari sbarcarono , molti ancora < mezzo addormentati > . La barella con il maggiore Herzog fu portata a terra e messa sull ' ambulanza . L ' ufficiale italiano di servizio se ne                           
mezzo_215;MONITOR2017_20;NARRAT;NARRAT;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_secundary;body;maximum_standard;Proximative;Proximative;                        pià¹ che a Giuliana , non i capelli reali perà² , quelli che mi lodava mio padre quando ero bambina . Restai a occhi chiusi , < mezza addormentata > . Mi sembrava che l ' eccessiva vicinanza fisica a Giuliana mi avesse infettata . La sua disperazione era ormai anche la                             
mezzo_231;MONITOR2014_16;STAMPA;STAMPA;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_secundary;body;maximum_standard;Proximative;Proximative;"                            legaleàƒÂ¢ "" à‚Â * * * * * * ANTONELLA MARIOTTI Quattro anni . Quattro anni di pianti , giochi , pranzi e cene , colazioni < mezzi addormentati > , lotte finte sul lettone e corse e rincorse nei giardini con i cani , a fare nascondino e mangiare il gelato . Tutto questo                         "
mezzo_237;MONITOR2011_13;NARRAT;NARRAT;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_secundary;body;maximum_standard;Proximative;Proximative;                             i documenti del jet , dando poi il via libera al capitano Reid a parcheggiare presso il vicino FBO . L ' agente ancora < mezzo addormentato > rivolse a tutti un bienvenu , un bounjour e un adieu e scese sulla pista avvolta dal buio . Cinque minuti dopo , il capitano                         
mezzo_258;MONITOR2014_16;NARRAT;NARRAT;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative;body;maximum_standard;Proximative;Proximative;                    . Â« Non aprire Â» le sibilai . Â« Ma come ... ? Â» Iniziai a spingerla su dalla scala . Dio , era incredibilmente lenta . Sembrava < mezza addormentata > . Â« Nonno , non aprire la porta ! Â» urlai . Â« A chi l ' hai detto ? Â» le chiesi quando raggiungemmo il pianerottolo . Â« Qualcuno                     
mezzo_291;CORIS1980_2000;NARRAT;NARRATTrRacconti;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative_secundary;body;maximum_standard;Proximative;Proximative;                        a crepapelle . Anche Rudy ha riso , pur sapendo che la Pbs non aveva mai commissionato un programma del genere . Io ho riso < mezza addormentata > e mi sono appoggiata al braccio che teneva allungato sullo schienale . Ogni tanto David Letterman se ne usciva con un : - E                          
mezzo_300;CORIS1980_2000;NARRAT;NARRATTrRomanzi;mezzo addormentato ;mezzo;addormentato;debonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                         sentiva dolore , qui , nel petto , la testa , la schiena , dappertutto . Carmen lo coprà¬ con una vestaglia , afferrà² David < mezzo addormentato > , mise tutti e due nella sua automobile e volà² all ' ospedale pià¹ vicino , dove in pochi minuti Gregory Reeves si trovà² su                           
mezzo_256;CORIS1980_2000;NARRAT;NARRATRacconti;mezzo affogato ;mezzo;affogato;debonded;af-fo-ga-to;4;conv_Vpart;participle_adj;predicative;body;maximum_standard;Proximative;Proximative;                               , intanto , il chiasso e la confusione erano cresciuti a dismisura : tutti piangevano e si disperavano , molti erano < mezzo affogati > e necessitavano di cure , altri erano stati sbattuti in malo modo dalle ondate e si lamentavano pietosamente . Pilucco                               
mezzo_86;MONITOR2011_13;NARRAT;NARRAT;mezzo alcolista ;mezzo;alcolista;debonded;al-co-li-sta;4;suff_N;adjective;predicative;behaviour;non-scalar;Mitigation/Downtoner;Mitigation/Downtoner;"                          i gusti cambiano e nessuno lo sa meglio di me che da vegetariana e astemia sono diventata nel_giro_di un anno carnivora e < mezza alcolista > . La cosa che mi ha sconvolto di_pià¹ , perà² , à¨ che lei lo abbia chiamato àƒÂ¢ "" à‚Âœ FilàƒÂ¢ "" à‚Â : chissà  perchà© , ho sempre pensato                     "
mezzo_203;CORIS1980_2000;NARRAT;NARRATTrRacconti;mezzo allagare ;mezzo;allagato;debonded;al-la-ga-to;4;conv_Vpart;participle_adj;predicative;material;maximum_standard;Proximative;Proximative;                        sentivamo perse . Non c ' era corrente elettrica , l ' acqua era entrata in gran quantità  dalle finestre e il pavimento era < mezzo allagato > . In punta di piedi andammo a vedere cosa succedeva nella stanza dei nostri amici , e naturalmente anche loro si erano                               
mezzo_65;CORIS1980_2000;NARRAT;NARRATTrRomanzi;mezzo ammazzare ;mezzo;ammazzato;debonded;am-maz-za-re;4;conv_Vpart;participle_adj;predicative_subj;body;maximum_standard;Proximative;Proximative;                           sappia . Erano passate due ore da quando si trovava nel proprio salotto a guardare un film in televisione e si ritrovava < mezzo ammazzato > in una cella a cinque chilometri da casa sua . Â» Patrick abbassà² la testa e si pizzicà² il setto nasale . Il dottor Hayani gli                        
semi_34;MONITOR2008_10;PRGAMM;PRGAMM;semi - analfabeta ;semi;analfabeta;hyphened;a-nal-fa-be-ta;5;;adjective;;;non-scalar;KinCategorization;KinCategorization;                              elementare in Italia à¨ ancora nettamente pià¹ alta rispetto_agli altri paesi sviluppati ( si tratta , in sostanza , di < semi - analfabeti > ) : stiamo sul 24% - il 22% nel Centro - Nord ed il 28% nel Sud - . Si tratta di quote patologiche per un paese civile : questi                      
semi_219;CORIS1980_2000;STAMPA;STAMPASupplementi;semianalfabeta ;semi;analfabeta;bonded;a-nal-fa-be-ta;5;simple;adjective;attributive/appositive;spirit;maximum_standard;Proximative;Proximative;                                  saggi sugli argomenti pià¹ disparati , finà¬ funzionario della amministrazione delle imposte e dei dazi . Una serva < semianalfabeta > , con la quale convisse per tutta la vita , gli diede quattro figli . Al_di_là _della curiosità  aneddotica e della forza                              
